"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.903113907435909 0.457913715858012 0.00721356854774058 0.512558032292873 0.442501452984288 0.490491683594882 0.709088215371594 0.976030001183972 0.0862014344893396 0.165404100902379
"2" 0.588914431398734 0.0778502384200692 0.668617835501209 0.904352641897276 0.219398362096399 0.366124139167368 0.302425415022299 0.831841264618561 0.684610566589981 0.105614317581058
"3" 0.664689881028607 0.522040745941922 0.0936909611336887 0.743758229073137 0.199936858378351 0.318709162529558 0.036163134034723 0.632570173824206 0.415809378493577 0.500890865456313
"4" 0.657439215807244 0.421600368572399 0.716275031678379 0.496803656220436 0.218539339490235 0.360343399923295 0.460007897345349 0.831415192922577 0.272336768684909 0.233878588769585
"5" 0.336847510421649 0.515094136120752 0.687014244031161 0.638140801573172 0.487414039904252 0.0457315808162093 0.236352564767003 0.637269633589312 0.451398787787184 0.41389169706963
"6" 0.121281462255865 0.978477066149935 0.0206972965970635 0.180235981941223 0.0623679829295725 0.373720350209624 0.708112793508917 0.363409849815071 0.647149275522679 0.752701362362131
"7" 0.462268696865067 0.632717069704086 0.10755426180549 0.872680956264958 0.874257042305544 0.639752235496417 0.762579439440742 0.202526533277705 0.357753745513037 0.120623608119786
"8" 0.740136586129665 0.461500532925129 0.644615043420345 0.67087964550592 0.485715861665085 0.202149266842753 0.18913867790252 0.362688498571515 0.936609585769475 0.507197974482551
"9" 0.240185003727674 0.0595601911190897 0.468217254150659 0.226906325900927 0.112751483218744 0.0596925260033458 0.293956101872027 0.287589259445667 0.442158287391067 0.905676722060889
"10" 0.137182583799586 0.227225475711748 0.920061712153256 0.789083951152861 0.660412516212091 0.154744742205366 0.337009861133993 0.295858634635806 0.213477016659454 0.884880362078547
